,CountryCode,categoryId,channelId,channelTitle,publishedAt,videoId
197,GB,25,UCqnbDFdCpuN8CMEg0VuEBqA,The New York Times,02,Hi91aDmYI2E
198,GB,22,UCey_c7U86mJGz1VJWH5CYPA,iJustine,16,LO0FwPXJbi0
199,GB,10,UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,20,GZeza5xTeuM
200,GB,24,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,01,vn9mMeWcgoM
201,GB,1,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,19,aj8mN_7Apcw
202,GB,23,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,17,w4AImq08j9o
203,GB,20,UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,02,sZcuF1T4Vxw
204,GB,24,UCBR8-60-B28hp2BmDPdntcQ,YouTube Spotlight,17,FlsCjmMhFmw
205,GB,10,UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,05,56KYMMGudcU
206,GB,20,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,02,dyBFAX4SDEc
207,GB,24,UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,05,vW7H-DKivX8
208,GB,17,UCTFzlMvFx2f5D9t3fl79w7Q,Nile Wilson,17,UKka73nn1dk
209,GB,20,UCCkxMbfZ80VFwwiRlIG5P5g,FROMSOFTWARE,02,iWFgvbf_Zu8
210,GB,2,UCjOl2AUblVmg2rA_cRgZkFg,Top Gear,12,mHhZ9jk-DrU
211,GB,10,UCgkt10hEZXC6nGwkqeEWK5Q,ManicStPreachersVEVO,08,rXfnPGGfSh8
212,GB,23,UCWXCrItCF6ZgXrdozUS-Idw,ExplosmEntertainment,06,r8FQ5wUYm9c
213,GB,20,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,07,tnCbI51JpAM
214,GB,20,UCrQEMZ1k5QkXh5n5QQBwaSg,Campo Santo Productions,02,ceJcHUoO734
215,GB,20,UC_ntXHv-XdKCD7CPynVvnQw,Bandai Namco Entertainment America,02,m1sdAmSq4vs
216,GB,23,UCi7GJNg51C3jgmYTUwqoUXA,Team Coco,18,ms9j25XkYoU
217,GB,20,UCnXDQbqIdp-HQuDyM4p12ng,PLAYERUNKNOWN'S BATTLEGROUNDS,04,6TOSV3-7hzU
218,GB,24,UCdM8C3ufiI-i-I1XSugKVvg,The Real Daytime,17,kmH6rve3qF0
219,GB,10,UCe4LM_eKc9ywRmVuBm5pjQg,Atlantic Records,17,ntLtNTUCuII
220,GB,22,UCvNWqKR69jB56_PMYUARHAA,LOVE TV by LOVE Magazine,08,N40CC9Wzd9A
221,GB,24,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,15,yqFIrrcmsJI
222,GB,25,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,03,rEzEGto67Jw
223,GB,24,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,15,5ELQ6u_5YYM
224,GB,24,UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,08,PPCDMi5xmmk
225,GB,22,UC8oboOHV9cQmgk9xUL92V-A,The Voidz,15,oQx3h5D9pwg
226,GB,24,UCrTNhL_yO3tPTdQ5XgmmWjA,RedLetterMedia,22,Rm09nLK-Pg8
227,GB,24,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,14,bye513KciIk
228,GB,22,UCu_9_zRVfKee4v7xXXcv2ag,SOPHIE,14,uERIXLWeik0
229,GB,27,UCDsO-0Yo5zpJk575nKXgMVA,RocketJump,19,GFMyMxMYDNk
230,GB,24,UCbhNxkjmpQcTJDrabiyzHUw,Carrie Hope Fletcher,13,0hcp-eMOn4E
